aX,aY,aZ,gX,gY,gZ
0.338,0.279,1.789,-47.729,17.944,124.451
0.299,0.213,1.775,-35.583,44.434,121.765
0.202,0.202,1.612,-26.489,44.495,141.785
0.302,0.362,1.541,-17.761,24.719,143.616
0.411,0.488,1.587,-15.869,15.747,138.733
0.409,0.554,1.708,-22.644,16.479,133.484
0.326,0.578,1.786,-34.180,21.423,128.418
0.318,0.566,1.856,-39.551,30.762,123.596
0.347,0.568,1.910,-38.696,41.199,121.094
0.386,0.583,1.912,-35.889,53.589,117.493
0.402,0.615,1.857,-33.569,67.505,114.746
0.401,0.655,1.801,-33.752,92.224,113.892
0.398,0.704,1.753,-33.936,84.717,112.427
0.389,0.758,1.726,-33.752,88.867,109.680
0.373,0.794,1.706,-33.325,94.421,107.300
0.363,0.834,1.686,-32.959,99.243,103.699
0.342,0.854,1.657,-32.776,105.652,100.464
0.335,0.887,1.639,-34.668,112.488,97.473
0.325,0.913,1.569,-37.964,122.742,93.689
0.305,0.948,1.528,-41.382,130.432,89.905
0.277,0.985,1.460,-43.579,137.024,84.473
0.259,1.030,1.364,-47.729,141.602,78.857
0.234,1.052,1.279,-50.354,145.264,70.190
0.221,1.093,1.186,-51.880,147.766,62.378
0.204,1.067,1.108,-51.758,149.658,51.941
0.197,1.059,1.021,-49.316,151.001,42.480
0.191,1.033,0.958,-45.654,152.222,31.433
0.185,1.011,0.883,-40.955,152.893,22.766
0.180,0.990,0.823,-35.889,151.367,14.526
0.180,0.975,0.757,-31.921,148.499,4.333
0.199,0.844,0.709,-23.254,137.634,-26.978
0.204,0.791,0.703,-22.583,138.428,-32.471
0.211,0.746,0.687,-21.606,139.832,-38.879
0.219,0.698,0.663,-19.226,141.296,-42.969
0.231,0.664,0.641,-17.273,142.822,-48.157
0.241,0.615,0.620,-13.123,144.287,-52.368
0.250,0.580,0.602,-8.301,146.301,-57.556
0.259,0.543,0.585,-1.953,147.949,-61.157
0.272,0.510,0.568,2.075,150.208,-65.369
0.275,0.480,0.534,7.568,153.198,-68.054
0.281,0.442,0.502,11.963,154.297,-70.251
0.282,0.421,0.459,17.029,155.151,-71.838
0.275,0.398,0.429,20.996,154.724,-73.608
0.271,0.393,0.405,23.132,153.809,-74.463
0.262,0.384,0.387,24.719,152.771,-75.745
0.251,0.378,0.368,26.001,152.161,-76.050
0.244,0.367,0.348,25.635,151.794,-75.989
0.245,0.368,0.327,24.841,151.367,-75.195
0.245,0.370,0.288,22.644,150.696,-73.975
