aX,aY,aZ,gX,gY,gZ
0.492,0.487,1.709,26.184,-323.486,184.143
0.472,0.497,1.796,25.940,-302.612,180.725
0.397,0.492,1.820,30.151,-289.185,176.697
0.328,0.505,1.825,39.612,-278.015,172.302
0.278,0.547,1.840,47.974,-272.461,165.649
0.264,0.607,1.898,53.284,-264.954,158.142
0.257,0.670,1.938,53.345,-259.338,148.132
0.250,0.704,2.008,52.307,-251.404,141.968
0.257,0.729,2.082,47.974,-243.408,135.864
0.265,0.740,2.179,44.067,-228.455,128.601
0.242,0.745,2.240,38.696,-213.257,122.559
0.195,0.772,2.302,33.691,-194.580,115.295
0.127,0.822,2.368,24.536,-176.880,107.971
0.105,0.860,2.410,15.381,-151.428,98.145
0.064,0.884,2.426,3.052,-131.470,89.172
0.031,0.900,2.416,-5.859,-96.252,77.576
0.015,0.899,2.375,-13.489,-90.759,67.688
0.009,0.896,2.329,-18.433,-76.111,56.274
0.011,0.884,2.263,-24.231,-58.350,47.363
0.004,0.859,2.198,-27.588,-47.546,38.086
-0.019,0.831,2.121,-31.921,-35.400,31.677
-0.037,0.806,2.069,-35.583,-29.175,26.123
-0.046,0.792,2.023,-39.185,-23.682,22.034
-0.049,0.785,2.010,-40.588,-19.165,16.907
-0.041,0.782,2.022,-41.443,-12.390,13.245
-0.032,0.781,2.047,-41.870,-3.967,8.240
-0.012,0.813,2.090,-27.344,53.040,-13.855
0.000,0.829,2.079,-20.569,71.777,-20.630
0.015,0.838,2.059,-14.832,87.769,-30.029
0.029,0.874,2.017,-6.653,107.422,-37.048
0.036,0.851,1.970,-0.244,122.498,-46.265
0.039,0.852,1.900,5.066,138.794,-55.298
0.040,0.851,1.835,8.789,151.367,-65.735
0.042,0.842,1.771,11.353,164.185,-74.158
0.047,0.839,1.727,14.587,174.255,-83.069
0.055,0.838,1.692,30.884,185.303,-93.994
0.067,0.836,1.670,15.930,195.923,-104.065
0.081,0.832,1.648,15.259,209.106,-115.540
0.091,0.811,1.611,14.160,220.886,-125.610
0.101,0.791,1.567,12.024,247.375,-137.085
0.112,0.768,1.491,9.583,245.789,-146.362
0.132,0.740,1.418,6.042,255.981,-156.982
0.152,0.712,1.322,1.099,267.212,-165.039
0.182,0.679,1.244,-2.991,273.560,-173.096
0.209,0.651,1.157,-8.362,279.541,-179.077
0.241,0.615,1.089,-13.855,283.264,-184.265
0.265,0.580,1.011,-19.165,285.217,-187.195
0.282,0.538,0.950,-26.062,286.987,-190.369
0.290,0.506,0.887,-32.227,287.842,-191.956
0.295,0.474,0.843,-38.940,289.368,-193.054
0.299,0.448,0.798,-45.105,290.710,-194.214
0.309,0.420,0.763,-51.758,292.725,-194.458
0.349,0.312,0.583,-65.491,304.321,-193.359
0.350,0.297,0.517,-65.979,307.251,-192.871
0.345,0.287,0.455,-66.040,308.716,-192.566
0.343,0.278,0.384,-64.758,309.509,-192.261
0.336,0.273,0.329,-63.660,308.716,-192.505
0.331,0.266,0.271,-63.843,306.885,-191.284
0.331,0.263,0.226,-64.270,305.542,-189.941
0.328,0.263,0.179,-64.819,303.589,-188.293
0.323,0.259,0.115,-66.711,300.720,-187.256
0.314,0.255,0.052,-67.688,295.959,-186.462
0.304,0.244,-0.031,-67.871,290.894,-186.340
0.289,0.233,-0.097,-67.200,283.813,-186.035
0.273,0.217,-0.179,-64.148,275.940,-186.279
0.262,0.208,-0.237,-60.913,264.587,-187.134
0.262,0.198,-0.289,-55.176,254.211,-187.439
0.269,0.189,-0.319,-50.232,243.286,-186.646
0.310,0.175,-0.344,-45.471,235.168,-184.753
0.290,0.160,-0.364,-41.870,226.746,-181.519
0.276,0.068,-0.479,-18.738,196.350,-166.565
0.272,0.055,-0.519,-11.108,187.866,-162.354
0.271,0.046,-0.547,-5.188,177.368,-156.189
0.277,0.036,-0.584,1.648,167.480,-150.085
0.277,0.030,-0.607,5.676,155.090,-140.930
0.276,0.014,-0.630,11.169,143.250,-135.681
0.251,-0.002,-0.646,15.930,128.601,-129.028
0.229,-0.018,-0.664,20.752,115.051,-123.352
0.208,-0.035,-0.673,23.621,99.121,-117.065
0.201,-0.041,-0.664,27.893,86.548,-111.511
0.194,-0.040,-0.646,32.898,74.158,-105.347
0.190,-0.028,-0.623,38.208,65.186,-100.525
0.191,-0.016,-0.603,41.565,57.312,-95.337
0.189,-0.005,-0.586,46.021,49.622,-91.797
0.191,0.004,-0.582,49.683,44.067,-87.646
0.192,0.009,-0.588,51.697,35.950,-84.167
0.195,0.009,-0.593,52.979,28.809,-79.651
0.198,0.005,-0.602,54.932,20.020,-75.928
0.199,0.010,-0.609,56.641,12.817,-71.228
0.196,0.015,-0.620,58.533,4.150,-67.322
0.194,0.018,-0.630,59.875,-2.991,-63.049
0.199,0.013,-0.655,61.584,-13.000,-59.448
0.198,0.006,-0.675,62.988,-23.010,-54.626
0.219,-0.013,-0.698,74.158,-72.266,-39.001
0.224,-0.012,-0.686,77.271,-85.022,-35.889
0.236,-0.015,-0.685,80.750,-94.910,-32.043
0.245,-0.019,-0.680,84.473,-106.201,-29.053
0.256,-0.032,-0.684,87.646,-116.333,-25.391
0.271,-0.050,-0.691,92.102,-128.357,-21.667
0.287,-0.065,-0.718,96.130,-140.808,-17.029
0.303,-0.078,-0.672,100.891,-152.100,-12.512
0.321,-0.084,-0.659,105.103,-164.246,-6.287
0.333,-0.093,-0.644,109.741,-174.133,15.320
0.351,-0.095,-0.594,113.770,-186.157,7.446
0.363,-0.087,-0.602,119.263,-195.435,13.794
0.379,-0.082,-0.573,122.559,-206.909,20.935
0.388,-0.079,-0.544,126.770,-215.454,26.550
0.398,-0.080,-0.518,130.676,-225.464,33.875
0.411,-0.077,-0.493,135.010,-232.727,39.246
0.424,-0.071,-0.483,139.160,-240.906,46.448
0.509,-0.016,-0.447,154.724,-277.954,77.698
0.536,-0.018,-0.447,157.288,-288.025,85.754
0.562,-0.023,-0.450,159.302,-302.856,96.619
0.579,-0.018,-0.450,161.255,-316.284,106.323
0.596,-0.010,-0.438,161.743,-335.449,117.188
0.616,-0.004,-0.409,159.851,-351.746,126.282
0.636,-0.001,-0.371,159.363,-371.460,137.207
0.687,0.006,-0.334,159.546,-385.986,145.325
0.673,0.032,-0.301,159.668,-400.085,154.907
0.688,0.069,-0.263,158.569,-411.377,162.170
0.700,0.107,-0.227,156.555,-425.232,170.471
0.710,0.147,-0.174,151.306,-439.636,175.842
0.706,0.181,-0.068,144.592,-458.557,179.993
0.696,0.212,0.038,133.118,-474.976,180.725
0.695,0.210,0.180,121.216,-488.464,178.833
0.698,0.213,0.376,105.286,-496.399,175.903
0.700,0.220,1.042,56.458,-466.309,161.133
0.662,0.247,1.201,49.988,-449.280,155.090
0.620,0.308,1.384,42.419,-424.988,148.865
0.581,0.312,1.527,37.231,-399.109,139.160
0.574,0.340,1.671,31.189,-361.511,130.493
0.571,0.367,1.739,27.161,-326.294,119.751
0.561,0.396,1.749,25.391,-284.668,110.962
0.506,0.426,1.711,26.672,-254.028,102.295
0.490,0.455,1.647,27.588,-225.830,91.370
0.446,0.491,1.563,27.649,-209.351,81.238
0.405,0.505,1.496,26.367,-197.266,68.542
0.399,0.532,1.425,23.376,-191.772,55.725
0.362,0.522,1.395,20.325,-189.453,42.969
0.396,0.522,1.402,15.930,-183.777,30.457
0.379,0.473,1.351,15.442,-180.786,18.005
0.386,0.448,1.341,18.921,-178.101,8.972
0.389,0.422,1.350,21.790,-173.401,-2.563
0.375,0.396,1.366,25.452,-166.199,-11.841
0.342,0.365,1.386,28.015,-159.363,-22.644
0.317,0.341,1.401,28.748,-149.841,-31.006
0.298,0.307,1.407,27.954,-142.517,-40.222
0.295,0.276,1.413,26.917,-134.583,-46.326
0.305,0.223,1.419,24.841,-128.906,-51.453
0.316,0.183,1.421,22.156,-122.620,-54.932
0.333,0.137,1.426,18.799,-117.249,-55.481
0.357,0.107,1.426,15.259,-110.718,-53.345
0.347,0.049,1.394,-5.005,-89.233,-29.236
0.330,0.070,1.391,-11.536,-85.999,-22.949
0.314,0.090,1.397,-17.761,-81.360,-19.104
0.297,0.107,1.399,-24.109,-75.928,-15.869
0.280,0.115,1.400,-28.870,-67.932,-13.428
0.254,0.125,1.395,-33.691,-60.181,-10.681
0.234,0.141,1.379,-37.659,-49.683,-8.606
0.217,0.161,1.348,-41.687,-40.955,-6.775
0.204,0.175,1.295,-45.349,-32.104,-5.920
0.194,0.197,1.248,-47.180,-25.208,-6.104
0.183,0.215,1.199,-47.485,-19.653,-6.836
0.176,0.237,1.168,-48.828,-15.564,-8.911
0.164,0.245,1.136,-49.683,-12.817,-11.230
0.160,0.248,1.120,-50.598,-10.681,-14.099
0.157,0.246,1.107,-51.819,-7.507,-16.418
0.162,0.246,1.106,-52.734,-4.028,-19.531
0.171,0.240,1.105,-52.917,1.404,-21.484
0.185,0.230,1.094,-53.284,6.653,-23.193
0.193,0.222,1.061,-52.734,14.038,-24.658
0.201,0.209,1.027,-52.429,18.738,-24.780
0.211,0.200,0.988,-51.575,23.560,-24.841
0.213,0.196,0.949,-49.377,26.245,-24.536
0.210,0.192,0.927,-48.340,28.992,-23.804
0.206,0.184,0.910,-46.570,30.396,-23.376
0.204,0.180,0.901,-46.387,33.325,-22.278
0.205,0.175,0.891,-46.143,36.011,-21.118
0.208,0.170,0.879,-46.326,39.734,-19.592
0.217,0.166,0.854,-45.593,45.288,-18.066
0.220,0.164,0.825,-44.739,51.331,-15.747
0.217,0.163,0.777,-44.006,56.030,-13.794
0.166,0.162,0.586,-37.964,61.890,-7.446
0.149,0.164,0.560,-36.377,60.059,-7.324
0.137,0.166,0.534,-35.034,58.228,-7.080
0.127,0.163,0.518,-34.119,56.763,-7.507
0.121,0.157,0.494,-32.288,55.237,-7.263
0.120,0.156,0.475,-31.311,53.284,-7.019
0.114,0.156,0.463,-30.029,51.392,-6.470
0.108,0.154,0.453,-28.442,49.316,-6.042
0.102,0.152,0.446,-27.283,48.035,-6.042
0.095,0.151,0.443,-25.696,45.410,-6.348
0.087,0.150,0.435,-23.315,44.617,-7.446
0.082,0.150,0.433,-21.790,43.396,-8.118
0.076,0.147,0.427,-21.118,43.030,-9.338
0.075,0.139,0.418,-19.470,41.870,-10.254
0.078,0.132,0.377,-16.846,41.748,-10.193
0.078,0.127,0.388,-14.282,40.466,-10.376
0.078,0.124,0.370,-12.451,39.917,-9.644
0.078,0.122,0.350,-9.644,37.781,-9.338
0.070,0.115,0.343,-8.667,34.912,-8.301
0.069,0.112,0.335,-6.348,33.081,-7.141
0.062,0.115,0.327,-6.042,29.907,-5.493
0.057,0.119,0.332,-6.104,26.489,-4.578
0.055,0.125,0.337,-6.470,23.499,-3.235
0.055,0.129,0.340,-7.263,20.325,-2.441
0.054,0.136,0.345,-9.338,16.418,-2.625
0.051,0.135,0.354,-9.888,13.123,-2.136
0.057,0.138,0.358,-11.230,10.925,-0.916
0.060,0.142,0.368,-11.902,9.460,-0.061
0.061,0.149,0.370,-13.306,6.958,0.854
0.059,0.152,0.372,-13.184,5.554,2.014
0.065,0.164,0.380,-14.038,3.784,2.258
0.064,0.165,0.387,-15.198,3.540,0.793
0.066,0.162,0.389,-14.282,2.441,0.366
0.065,0.159,0.391,-12.512,1.770,-0.366
0.066,0.157,0.394,-10.559,1.709,-0.977
0.072,0.158,0.397,-8.057,2.869,-0.488
0.075,0.159,0.398,-5.310,3.113,-0.732
0.072,0.164,0.396,-3.479,3.662,-1.038
0.074,0.172,0.394,-1.648,3.357,-1.099
0.073,0.178,0.395,0.610,3.357,-2.319
0.070,0.182,0.401,1.343,1.648,-3.601
0.066,0.183,0.408,0.977,1.648,-4.761
0.069,0.178,0.421,0.671,-0.488,-6.042
0.068,0.178,0.426,-0.244,-0.793,-6.836
0.072,0.170,0.438,-1.465,-2.808,-7.202
0.075,0.161,0.448,-2.747,-2.563,-7.751
0.082,0.153,0.456,-3.296,-2.563,-7.751
0.088,0.145,0.457,-4.028,-1.831,-7.690
0.094,0.138,0.458,-3.601,-1.526,-7.202
0.125,0.136,0.457,-2.991,-0.610,-7.019
0.094,0.135,0.454,-2.747,-0.488,-6.714
0.063,0.133,0.452,-1.892,-0.244,-6.348
0.091,0.129,0.453,-0.488,-0.671,-6.409
0.123,0.129,0.455,0.732,0.183,-5.920
0.097,0.127,0.458,0.366,-0.427,-5.737
0.098,0.125,0.465,0.854,-0.427,-5.371
0.103,0.123,0.500,1.587,-0.610,-4.578
0.105,0.121,0.474,1.099,-0.366,-4.211
0.104,0.120,0.479,-0.366,15.198,-2.869
0.107,0.124,0.485,-1.587,-0.671,-1.770
0.108,0.125,0.489,-2.930,-0.732,-0.610
0.104,0.127,0.490,-4.883,-1.099,0.671
0.101,0.136,0.494,-6.897,-1.770,1.343
0.097,0.140,0.495,-9.460,-3.357,1.831
0.094,0.145,0.503,-10.376,-3.174,2.136
0.097,0.147,0.509,-12.207,-3.967,2.380
0.097,0.149,0.513,-13.184,-3.540,2.258
0.100,0.148,0.509,-13.123,-3.174,1.831
0.101,0.147,0.508,-13.123,-2.563,2.319
0.104,0.144,0.504,-13.428,-3.418,1.892
0.100,0.143,0.504,-13.000,-2.380,1.953
0.100,0.147,0.503,-12.817,-2.991,1.831
0.101,0.151,0.501,-12.634,-2.380,1.404
0.098,0.153,0.500,-12.390,-2.747,0.671
0.101,0.150,0.505,-11.414,-2.563,0.305
0.098,0.148,0.505,-10.559,-2.625,-0.061
0.098,0.143,0.508,-9.583,-2.441,-0.671
0.094,0.143,0.511,-8.972,-1.892,-0.854
0.095,0.140,0.512,-7.263,-1.099,-1.282
0.095,0.136,0.516,-7.141,-1.404,-1.587
0.094,0.135,0.518,-6.104,0.061,-1.465
0.096,0.131,0.516,-5.432,0.977,-0.732
0.097,0.133,0.505,-4.517,1.770,-0.305
0.099,0.141,0.492,-3.479,1.892,0.549
0.099,0.147,0.487,-2.930,1.221,1.099
0.091,0.149,0.482,-3.662,-15.381,1.526
0.087,0.155,0.486,-3.540,-1.038,1.160
0.083,0.160,0.488,-4.211,-1.770,0.793
0.080,0.163,0.494,-5.188,-2.563,0.427
0.080,0.157,0.499,-6.348,-2.808,-0.488
0.083,0.151,0.503,-7.568,-2.136,-0.549
0.085,0.144,0.502,-7.812,-1.526,-0.671
0.084,0.141,0.500,-7.568,-0.366,-0.916
0.088,0.136,0.495,-7.080,-0.488,-1.038
0.090,0.130,0.486,-5.493,0.854,-1.038
0.088,0.120,0.468,-1.953,2.197,-0.549
0.092,0.120,0.465,-0.732,2.197,-0.488
0.090,0.119,0.460,15.564,1.770,0.061
0.089,0.120,0.457,0.549,0.916,-0.061
0.087,0.124,0.455,1.038,-0.427,-0.671
0.086,0.127,0.454,0.732,-2.258,-0.244
0.089,0.132,0.459,0.000,-4.089,-0.366
0.097,0.135,0.472,-1.709,-5.310,-0.183
0.096,0.135,0.482,-2.930,-6.531,0.305
0.096,0.138,0.494,-4.028,-6.958,0.488
0.102,0.136,0.504,-4.639,-7.385,0.732
0.103,0.135,0.514,-5.371,-6.958,0.916
0.104,0.134,0.520,-6.958,-5.859,0.977
0.103,0.133,0.529,-7.263,-4.395,0.977
0.107,0.135,0.527,-6.958,-2.380,1.770
0.108,0.133,0.521,-6.653,-0.854,2.380
0.103,0.137,0.508,-5.676,1.099,2.441
0.100,0.145,0.497,-4.517,1.465,2.991
0.090,0.154,0.487,-3.845,1.526,2.808
0.084,0.160,0.480,-3.479,0.061,2.197
0.078,0.170,0.479,-3.601,-0.732,1.831
0.074,0.173,0.482,-4.700,-3.052,0.916
0.073,0.177,0.487,-5.615,-3.784,0.122

1.116,0.298,1.306,57.495,-545.898,334.534
1.116,0.371,1.596,55.237,-517.456,336.914
1.092,0.426,1.784,51.086,-483.948,339.417
1.052,0.543,1.970,49.500,-444.092,340.454
1.001,0.676,2.126,49.438,-407.349,335.754
0.946,0.826,2.311,46.143,-355.957,326.904
0.860,0.988,2.418,40.833,-311.707,308.411
0.766,1.100,2.430,38.940,-261.658,289.001
0.700,1.212,2.397,38.513,-226.501,251.099
0.639,1.277,2.339,37.598,-190.369,238.281
0.563,1.308,2.243,35.461,-166.199,215.027
0.540,1.306,2.129,32.593,-145.264,189.453
0.498,1.288,2.074,30.151,-133.728,168.457
0.448,1.259,2.022,30.151,-124.512,143.250
0.417,1.214,1.992,32.471,-116.577,122.375
0.397,1.153,1.995,36.011,-108.826,99.548
0.382,1.102,2.004,41.992,-98.083,81.909
0.374,1.031,2.029,46.753,-86.853,63.171
0.363,0.991,2.061,50.293,-72.266,48.828
0.354,0.950,2.090,52.612,-59.814,35.278
0.340,0.919,2.108,51.025,-44.800,21.545
0.328,0.886,2.121,47.485,-35.278,11.536
0.328,0.860,2.134,42.725,-24.048,1.465
0.336,0.842,2.158,34.424,-14.587,-5.554
0.354,0.820,2.178,25.879,-5.127,-11.963
0.368,0.801,2.189,15.625,8.606,-15.442
0.384,0.785,2.188,6.836,19.958,-17.151
0.388,0.776,2.172,-3.601,35.583,-16.846
0.385,0.778,2.133,-13.062,48.157,-16.174
0.379,0.786,2.075,-22.827,62.683,-15.015
0.300,0.869,1.910,-41.687,110.901,-20.081
0.278,0.897,1.874,-42.603,122.925,-27.405
0.268,0.913,1.831,-42.969,137.939,-34.973
0.258,0.944,1.797,-43.823,150.269,-45.776
0.253,0.970,1.756,-45.959,166.016,-55.603
0.232,1.000,1.717,-48.401,179.016,-69.031
0.220,1.024,1.661,-50.415,194.092,-81.421
0.202,1.032,1.599,-51.147,205.933,-96.924
0.194,1.038,1.528,-52.368,219.421,-110.901
0.192,1.025,1.469,-51.208,229.065,-129.333
0.190,0.991,1.400,-48.340,241.211,-144.897
0.197,0.952,1.347,-43.579,251.282,-160.706
0.206,0.916,1.298,-38.391,265.198,-177.917
0.219,0.875,1.265,-31.616,275.879,-191.895
0.239,0.843,1.240,-25.024,290.833,-207.886
0.259,0.800,1.195,-18.127,303.284,-219.788
0.296,0.767,1.147,-13.916,317.932,-231.995
0.330,0.731,1.068,-8.789,328.308,-239.258
0.366,0.707,0.997,-6.226,338.745,-245.911
0.390,0.666,0.905,-5.737,344.910,-249.512
0.402,0.637,0.832,-7.874,349.365,-252.075
0.408,0.592,0.749,-11.597,351.074,-252.625
0.401,0.462,0.478,-39.917,345.154,-246.155
0.402,0.436,0.379,-48.157,341.003,-242.310
0.398,0.407,0.322,-55.176,335.815,-239.502
0.386,0.387,0.254,-58.594,330.505,-236.206
0.368,0.364,0.188,-62.134,322.937,-233.276
0.350,0.343,0.145,-64.453,317.383,-231.384
0.333,0.330,0.102,-66.040,310.791,-230.530
0.316,0.312,0.082,-66.650,306.213,-229.980
0.309,0.296,0.061,-67.810,302.979,-230.225
0.295,0.277,0.041,-67.749,299.866,-230.713
0.286,0.259,0.021,-68.237,297.546,-231.079
0.274,0.241,-0.001,-70.129,295.227,-231.018
0.272,0.231,-0.033,-72.998,293.335,-230.591
0.281,0.214,-0.073,-76.599,289.978,-229.187
0.290,0.202,-0.125,-79.773,286.316,-226.318
0.312,0.179,-0.171,-81.726,280.273,-221.680
0.324,0.158,-0.222,-83.191,272.095,-216.553
0.330,0.129,-0.265,-83.740,263.428,-210.083
0.278,0.008,-0.406,-73.853,220.825,-189.575
0.263,-0.019,-0.425,-66.772,210.144,-186.096
0.242,-0.054,-0.438,-62.378,201.965,-179.016
0.249,-0.085,-0.451,-53.711,193.298,-174.927
0.240,-0.129,-0.464,-45.471,186.768,-169.250
0.241,-0.161,-0.487,-34.729,178.528,-163.757
0.235,-0.193,-0.509,-24.475,156.372,-155.518
0.231,-0.248,-0.531,-11.780,163.391,-147.217
0.228,-0.237,-0.552,-0.488,140.747,-136.597
0.228,-0.251,-0.572,11.658,147.339,-127.747
0.223,-0.256,-0.588,21.118,136.963,-116.272
0.224,-0.248,-0.600,32.349,129.028,-106.934
0.224,-0.238,-0.609,39.612,118.347,-95.398
0.220,-0.225,-0.622,47.729,110.046,-86.304
0.210,-0.216,-0.634,53.650,100.037,-75.989
0.201,-0.201,-0.641,60.242,87.769,-67.932
0.186,-0.185,-0.646,65.002,75.989,-59.387
0.167,-0.125,-0.630,69.641,23.193,-35.095
0.166,-0.113,-0.624,66.528,11.108,-30.823
0.166,-0.110,-0.619,63.110,-1.587,-25.330
0.171,-0.111,-0.607,57.739,-16.479,-20.874
0.183,-0.118,-0.564,52.979,-31.006,-14.893
0.196,-0.121,-0.589,48.096,-41.748,-8.728
0.207,-0.123,-0.587,45.105,-54.626,-2.136
0.211,-0.121,-0.590,42.847,-64.209,3.296
0.206,-0.122,-0.596,41.626,-76.477,9.644
0.200,-0.119,-0.612,41.809,-86.426,14.648
0.201,-0.113,-0.626,42.358,-98.511,19.470
0.207,-0.109,-0.638,43.152,-110.413,21.912
0.213,-0.110,-0.647,44.495,-122.253,25.574
0.214,-0.116,-0.648,46.448,-133.667,28.687
0.214,-0.118,-0.647,48.340,-146.423,32.227
0.211,-0.119,-0.643,51.208,-158.203,35.217
0.215,-0.119,-0.644,53.955,-172.302,38.086
0.223,-0.125,-0.638,57.739,-183.350,40.649
0.238,-0.126,-0.632,61.951,-196.106,43.396
0.255,-0.131,-0.623,69.092,-205.811,45.959
0.277,-0.142,-0.617,75.562,-216.858,50.415
0.291,-0.152,-0.611,85.510,-225.891,54.504
0.335,-0.111,-0.536,116.516,-271.912,73.059
0.362,-0.106,-0.495,118.835,-283.508,78.430
0.393,-0.110,-0.451,121.765,-291.565,84.290
0.425,-0.115,-0.432,123.962,-299.805,92.773
0.453,-0.120,-0.419,126.953,-307.068,101.074
0.475,-0.120,-0.413,129.150,-315.857,112.000
0.500,-0.115,-0.409,131.592,-323.669,121.887
0.519,-0.110,-0.403,133.667,-333.008,134.827
0.536,-0.094,-0.398,135.010,-342.468,144.714
0.542,-0.069,-0.394,136.658,-354.614,154.175
0.546,-0.036,-0.384,138.611,-366.333,160.583
0.559,-0.011,-0.364,138.245,-381.348,167.480
0.582,0.017,-0.333,138.489,-392.517,172.119
0.609,0.041,-0.296,138.184,-406.067,177.612
0.631,0.063,-0.244,135.193,-416.931,182.190
0.709,0.152,0.063,101.807,-462.036,195.312
0.740,0.175,0.186,88.013,-471.252,196.716
0.777,0.192,0.272,68.726,-476.562,197.937
0.821,0.213,0.384,50.903,-480.774,200.317
0.851,0.226,0.517,27.710,-481.506,202.332
0.859,0.240,0.630,8.301,-481.262,204.834
0.865,0.244,0.774,-14.587,-477.478,205.444
0.883,0.263,0.894,-32.471,-469.971,204.956
0.884,0.256,1.040,-49.744,-456.848,205.505
0.918,0.269,1.131,-65.552,-440.002,203.613
0.897,0.250,1.217,-73.242,-422.363,202.515
0.871,0.255,1.320,-78.369,-405.518,202.515
0.841,0.274,1.457,-80.139,-381.104,200.317
0.796,0.315,1.566,-81.360,-357.239,195.740
0.751,0.371,1.686,-81.177,-325.684,186.523
0.718,0.450,1.755,-78.674,-298.462,176.086
0.686,0.524,1.796,-74.402,-265.442,159.973
0.625,0.603,1.810,-69.763,-240.112,143.982
0.623,0.653,1.797,-64.331,-212.952,122.498
0.563,0.683,1.758,-58.716,-194.214,102.966
0.522,0.653,1.633,-42.664,-151.917,3.052
0.522,0.633,1.656,-40.894,-146.667,-1.343
0.533,0.589,1.707,-41.687,-140.930,-17.517
0.543,0.540,1.752,-43.579,-132.446,-33.386
0.554,0.476,1.789,-47.852,-122.314,-44.495
0.567,0.426,1.842,-53.406,-108.948,-54.260
0.558,0.355,1.823,-60.852,-96.863,-59.570
0.540,0.298,1.815,-68.115,-83.923,-62.988
0.519,0.234,1.801,-78.430,-73.669,-63.477
0.492,0.189,1.776,-88.318,-62.805,-62.683
0.469,0.136,1.739,-100.891,-53.589,-60.303
0.436,0.089,1.703,-109.985,-42.908,-56.946
0.417,0.038,1.653,-120.422,-33.997,-52.917
0.388,0.006,1.566,-127.197,-22.949,-47.485
0.363,-0.034,1.507,-132.629,-14.648,-42.297
0.333,-0.062,1.384,-135.498,-5.493,-35.950
0.303,-0.088,1.300,-135.864,-0.122,-30.029
0.259,-0.100,1.207,-133.240,3.479,-24.353
0.191,-0.105,1.121,-129.028,4.150,-19.897
0.173,-0.104,1.059,-124.268,2.930,-14.954
0.156,-0.089,1.017,-116.943,2.747,-13.123
0.127,-0.079,0.981,-111.694,2.014,-10.986
0.068,-0.047,0.853,-73.303,12.085,-18.311
0.054,-0.022,0.823,-62.073,9.216,-19.165
0.048,-0.005,0.808,-54.810,5.798,-20.691
0.052,0.019,0.809,-47.302,2.991,-23.315
0.060,0.037,0.819,-42.358,2.563,-28.137
0.071,0.044,0.831,-37.048,4.700,-32.471
0.082,0.033,0.835,-31.189,10.071,-37.231
0.086,0.014,0.818,-25.208,14.709,-39.673
0.085,-0.000,0.756,-19.104,18.799,-40.710
0.084,-0.010,0.743,-11.658,21.057,-40.955
0.082,-0.009,0.715,-7.019,20.935,-40.466
0.083,-0.003,0.695,-1.221,20.508,-40.222
0.088,-0.001,0.690,1.953,19.836,-40.466
0.088,0.009,0.687,4.578,19.409,-40.222
0.097,0.013,0.684,5.310,19.958,-39.734
0.105,0.014,0.678,5.371,20.874,-38.696
0.112,0.014,0.672,6.104,21.851,-37.964
0.120,0.012,0.661,6.592,22.278,-36.316
0.120,0.008,0.654,7.019,22.583,-34.912
0.126,0.007,0.647,7.874,24.170,-32.959
0.134,0.003,0.641,7.385,24.536,-30.884
0.141,-0.001,0.629,6.470,26.123,-28.137
0.148,-0.004,0.609,7.202,26.367,-25.452
0.153,-0.005,0.563,8.606,27.344,-21.790
0.154,-0.005,0.574,10.132,26.611,-19.226
0.149,0.000,0.566,11.536,26.428,-15.503
0.144,0.006,0.563,12.512,25.391,-12.939
0.138,0.013,0.571,12.817,25.391,-10.193
0.139,0.018,0.578,12.756,24.170,-8.179
0.139,0.029,0.588,12.085,25.696,-5.127
0.137,0.038,0.589,11.108,26.245,-2.991
0.136,0.045,0.588,10.193,27.161,-0.671
0.131,0.057,0.577,9.338,27.649,0.732
