aX,aY,aZ,gX,gY,gZ
0.926,-1.525,0.161,-55.542,-20.996,-307.983
0.941,-1.670,0.168,-54.199,-26.550,-293.640
0.955,-1.780,0.176,-51.025,-30.151,-273.193
0.967,-1.883,0.191,-44.678,-33.569,-254.883
0.970,-1.949,0.209,-37.170,-36.011,-231.323
0.974,-2.001,0.240,-27.100,-36.865,-210.693
0.969,-2.029,0.273,-18.982,-37.537,-185.669
0.962,-2.042,0.309,-10.071,-37.109,-165.222
0.955,-2.047,0.351,-3.296,-36.560,-140.564
0.952,-2.049,0.385,3.052,-34.485,-120.239
0.941,-2.040,0.421,7.080,-32.959,-95.642
0.929,-2.025,0.443,11.841,-28.687,-75.500
0.909,-2.013,0.467,16.113,-24.109,-51.514
0.885,-1.992,0.476,23.132,-18.188,-17.212
0.860,-1.966,0.485,45.898,-11.230,-11.292
0.835,-1.925,0.485,39.917,-4.211,6.348
0.810,-1.884,0.482,49.377,4.150,25.757
0.789,-1.843,0.466,60.791,12.024,41.748
0.755,-1.807,0.446,70.679,19.897,59.998
0.725,-1.747,0.414,84.473,27.039,74.463
0.688,-1.688,0.386,95.032,32.288,90.393
0.661,-1.595,0.354,107.483,39.001,102.844
0.632,-1.545,0.325,115.906,43.457,116.943
0.604,-1.443,0.289,123.291,47.485,126.892
0.514,-1.179,0.174,140.808,50.293,163.635
0.496,-1.102,0.152,141.541,48.706,171.936
0.484,-1.045,0.133,141.785,46.021,178.101
0.474,-0.986,0.121,142.029,43.335,185.669
0.468,-0.946,0.105,139.954,39.185,191.650
0.458,-0.898,0.093,137.573,35.461,198.547
0.454,-0.861,0.087,135.071,30.151,205.078
0.454,-0.825,0.087,131.165,26.245,211.426
0.456,-0.799,0.089,128.906,21.790,219.604
0.467,-0.762,0.101,126.221,19.470,227.051
0.481,-0.734,0.110,123.840,17.456,236.572
0.488,-0.705,0.109,121.521,16.174,243.896
0.495,-0.685,0.103,120.544,0.305,253.479
0.499,-0.656,0.102,120.300,14.954,261.963
0.497,-0.615,0.099,120.667,14.648,270.935
0.476,-0.591,0.078,119.690,13.428,279.480
0.471,-0.540,0.063,119.690,12.634,288.269
0.465,-0.506,0.033,119.568,9.521,295.105
0.452,-0.453,-0.002,121.094,6.653,302.063
0.446,-0.403,-0.019,124.023,1.343,310.974
0.440,-0.326,-0.027,127.197,-2.502,317.566
0.425,-0.252,-0.031,129.333,-7.996,323.547
0.400,-0.165,-0.024,129.578,-12.146,328.918
0.294,0.186,0.085,130.066,-30.762,338.623
0.281,0.274,0.122,129.517,-31.738,336.914
0.265,0.371,0.149,126.709,-31.311,333.801
0.233,0.440,0.161,122.681,-29.785,328.613
0.208,0.503,0.161,115.906,-29.480,324.280
0.178,0.544,0.160,108.704,-30.151,319.214
0.157,0.590,0.163,100.037,-32.349,314.270
0.131,0.628,0.171,92.285,-34.790,307.007
0.103,0.667,0.170,82.886,-38.086,299.561
0.064,0.699,0.161,76.843,-42.297,289.978
0.035,0.709,0.142,70.557,-50.476,282.654
0.015,0.740,0.155,65.369,-59.204,276.611
0.015,0.777,0.216,60.608,-68.176,273.071
-0.003,0.851,0.245,54.565,-77.209,267.700
-0.001,0.922,0.357,49.377,-83.069,260.925
-0.010,1.020,0.423,38.879,-83.618,253.906
-0.036,1.091,0.477,27.710,-81.665,241.821
-0.082,1.129,0.516,17.883,-81.360,228.455
-0.132,1.145,0.542,14.465,-82.825,212.402
-0.152,1.148,0.571,14.648,-84.839,200.134
-0.151,1.154,0.650,14.587,-84.412,187.073
-0.135,1.162,0.682,13.367,-80.444,177.490
-0.127,1.156,0.726,12.451,-74.341,165.161
-0.124,1.149,0.763,12.939,-63.538,155.518
-0.141,1.136,0.773,15.198,-55.237,143.005
-0.178,1.126,0.648,28.748,-37.231,100.830
-0.165,1.153,0.638,30.396,-38.391,94.727
-0.151,1.187,0.662,31.067,-39.307,88.013
-0.146,1.226,0.703,32.043,-38.452,81.421
-0.148,1.275,0.737,31.860,-36.133,71.594
-0.143,1.306,0.771,32.166,-31.433,62.927
-0.136,1.332,0.781,31.921,-27.161,53.101
-0.131,1.363,0.775,28.870,-22.522,44.434
-0.129,1.384,0.772,25.330,-19.348,33.386
-0.132,1.386,0.752,17.456,-16.846,23.254
-0.129,1.383,0.727,9.521,-15.625,11.475
-0.114,1.375,0.701,-0.305,-16.357,2.686
-0.094,1.355,0.681,-9.888,-17.700,-6.775
-0.078,1.331,0.659,-20.386,-18.860,-14.160
-0.056,1.300,0.642,-28.137,-19.104,-22.400
-0.049,1.269,0.613,-36.682,-18.982,-28.931
-0.042,1.233,0.583,-42.297,-19.104,-36.865
-0.041,1.218,0.545,-46.448,-20.020,-43.213
-0.033,1.205,0.513,-49.255,-21.729,-50.232
-0.021,1.203,0.480,-51.636,-24.719,-56.335
-0.003,1.212,0.458,-54.932,-27.161,-63.904
0.014,1.221,0.439,-59.875,-30.029,-70.984
0.030,1.215,0.434,-65.308,-32.776,-79.956
0.044,1.198,0.428,-71.472,-33.997,-87.891
0.056,1.162,0.419,-76.782,-33.508,-97.351
0.073,1.118,0.399,-79.468,-31.799,-104.370
0.145,0.988,0.241,-66.284,-28.381,-131.775
0.156,0.971,0.217,-62.500,-30.212,-139.648
0.168,0.941,0.197,-60.608,-32.654,-147.278
0.189,0.901,0.194,-59.021,-34.790,-155.884
0.211,0.840,0.186,-57.373,-37.231,-162.415
0.236,0.790,0.167,-55.847,-38.574,-168.457
0.253,0.740,0.141,-54.871,-41.504,-172.363
0.263,0.697,0.127,-55.847,-45.166,-176.392
0.265,0.645,0.113,-59.326,-50.110,-179.687
0.263,0.597,0.108,-63.416,-54.504,-182.617
0.261,0.535,0.116,-70.496,-59.998,-185.486
0.263,0.465,0.120,-77.576,-64.087,-188.232
0.268,0.369,0.121,-82.947,-67.810,-189.636
0.273,0.285,0.121,-86.548,-72.327,-189.697
